company,latest_exit_date,deal_type,hq_location
BlackBox Biometrics,17-May-2021,Merger/Acquisition,"""Rochester, NY"""
BlackHorse Solutions,06-Jul-2021,Merger/Acquisition,"""Herndon, VA"""
Blackrock Neurotech,29-Apr-2024,Buyout/LBO,"""Salt Lake City, UT"""
BlackSignal,16-Aug-2024,Merger/Acquisition,"""Chantilly, VA"""
BlackSwan Vascular,24-Apr-2023,Merger/Acquisition,"""Hayward, CA"""
BlinkLab (ASX: BB1),02-Apr-2024,IPO,"""Princeton, NJ"""
Block Mining,23-Jul-2024,Merger/Acquisition,"""Chicago, IL"""
Blockchain Moon Acquisition,19-Oct-2021,IPO,"""Jacksonville, FL"""
BlockX Capital,25-Sep-2024,Merger/Acquisition,"""Vancouver, Canada"""
Bloom Farms,19-Aug-2022,Merger/Acquisition,"""Alameda, CA"""
Bloomia,22-Feb-2024,Merger/Acquisition,"""King George, VA"""
BluBracket,02-Jun-2023,Merger/Acquisition,"""Palo Alto, CA"""
Blue Apron,13-Nov-2023,Merger/Acquisition,"""New York, NY"""
Blue Hexagon,04-Oct-2022,Merger/Acquisition,"""Sunnyvale, CA"""
Blue Ocean Robotics,11-Feb-2025,Merger/Acquisition,"""Odense, Denmark"""
Blue Pillar,03-Oct-2022,Merger/Acquisition,"""Indianapolis, IN"""
Blue Run Spirits,07-Aug-2023,Merger/Acquisition,"""Georgetown, KY"""
Blue Water Financial Technologies,22-Sep-2022,Merger/Acquisition,"""Deephaven, MN"""
Bluedot (Business/Productivity Software),09-Jan-2024,Merger/Acquisition,"""San Francisco, CA"""
Bluegrass Vascular Technologies,02-May-2023,Merger/Acquisition,"""San Antonio, TX"""
Bluejay Therapeutics,26-Jan-2026,Merger/Acquisition,"""Redwood City, CA"""
Blueprint Medicines,18-Jul-2025,Merger/Acquisition,"""Cambridge, MA"""
BlueRibbon,01-Apr-2021,Merger/Acquisition,"""Ta'Xbiex, Malta"""
BodySano,29-Dec-2022,Merger/Acquisition,"""Antibes, France"""
Boku Identity,01-Feb-2022,Merger/Acquisition,"""San Jose, CA"""
Bolder Surgical,29-Nov-2021,Merger/Acquisition,"""Louisville, CO"""
Bollinger Motors,07-Sep-2022,Merger/Acquisition,"""Oak Park, MI"""
Bolt Medical,01-Apr-2025,Merger/Acquisition,"""Carlsbad, CA"""
Boomf,14-Jan-2022,Merger/Acquisition,"""London, United Kingdom"""
Boost Mobile,02-Dec-2024,Merger/Acquisition,"""Irvine, CA"""
